ZipCode,City,State,Latitude,Longitude,Classification,Population
76352,BLUEGROVE,TX,33.6736,-98.2298,P,0
76357,BYERS,TX,34.0882,-98.1559,,685
76363,GOREE,TX,33.4998,-99.5347,,231
76366,HOLLIDAY,TX,33.6154,-98.7174,,2023
76369,KAMAY,TX,33.8579,-98.8075,P,0
76371,MUNDAY,TX,33.4912,-99.668,,1513
76377,PETROLIA,TX,34.0273,-98.285,,592
76379,SCOTLAND,TX,33.6401,-98.5027,,519
76385,VERNON,TX,34.1545,-99.2647,P,0
76439,DENNIS,TX,32.6187,-97.9267,P,28
76459,JERMYN,TX,33.2602,-98.3979,,184
76461,LINGLEVILLE,TX,32.2445,-98.3775,P,0
76465,MORGAN MILL,TX,32.3884,-98.1668,P,0
76466,OLDEN,TX,32.4378,-98.7361,P,156
76467,PALUXY,TX,32.2707,-97.9075,P,0
76468,PROCTOR,TX,31.9963,-98.4003,P,0
76485,PEASTER,TX,32.8717,-97.8666,P,0
76490,WHITT,TX,32.9471,-98.0337,,99
76491,WOODSON,TX,33.0617,-99.0709,,387
76518,BUCKHOLTS,TX,30.8799,-97.1314,,1220
76523,DAVILLA,TX,30.7812,-97.165,P,181
76524,EDDY,TX,31.2653,-97.2274,,2700
76526,FLAT,TX,31.3138,-97.551,P,0
76530,GRANGER,TX,30.7054,-97.4203,,2654
76558,MOUND,TX,31.3505,-97.6369,P,0
76561,OGLESBY,TX,31.4232,-97.5584,,1062
76565,POTTSVILLE,TX,31.6446,-98.3355,,73
76566,PURMELA,TX,31.4896,-97.9799,,355
76570,ROSEBUD,TX,31.1015,-96.9783,,2376
76573,SCHWERTNER,TX,30.8154,-97.5146,P,26
76578,THRALL,TX,30.5287,-97.2377,,1817
76596,GATESVILLE,TX,31.4763,-97.7271,U,1159
76597,GATESVILLE,TX,31.4864,-97.7068,U,3233
76598,GATESVILLE,TX,31.4755,-97.7351,U,440
76599,GATESVILLE,TX,31.4727,-97.7387,U,1367
76622,AQUILLA,TX,31.8478,-97.244,,1148
76623,AVALON,TX,32.2046,-96.7892,P,208
76624,AXTELL,TX,31.6742,-96.9592,,2487
76626,BLOOMING GROVE,TX,32.0765,-96.6867,,1662
76627,BLUM,TX,32.1021,-97.3725,,1687
76629,BREMOND,TX,31.1248,-96.6581,,1980
76630,BRUCEVILLE,TX,31.3471,-97.22,,1878
76632,CHILTON,TX,31.3098,-97.1001,,1544
76637,CRANFILLS GAP,TX,31.777,-97.7788,,485
76638,CRAWFORD,TX,31.5441,-97.4486,,3130
76639,DAWSON,TX,31.8793,-96.6654,,1621
76640,ELM MOTT,TX,31.6835,-97.0682,,3063
76644,LAGUNA PARK,TX,31.8049,-97.4831,P,0
76648,HUBBARD,TX,31.8401,-96.8092,,2520
76650,IRENE,TX,31.9908,-96.8709,P,46
76652,KOPPERL,TX,32.1156,-97.5919,,1078
76653,KOSSE,TX,31.3442,-96.5752,,1145
76654,LEROY,TX,31.7308,-97.0155,P,132
76656,LOTT,TX,31.1785,-97.0689,,2229
76660,MALONE,TX,31.9301,-96.8982,,484
76665,MERIDIAN,TX,31.9113,-97.6111,,2390
76666,MERTENS,TX,32.0216,-96.9081,,305
76671,MORGAN,TX,32.0025,-97.5319,,1988
76676,PENELOPE,TX,31.8735,-96.9551,,315
76678,PRAIRIE HILL,TX,31.6384,-96.7393,,111
76679,PURDON,TX,31.9282,-96.5893,,1442
76681,RICHLAND,TX,31.9208,-96.4343,,520
76684,ROSS,TX,31.7184,-97.1186,P,0
76685,SATIN,TX,31.3602,-97.0108,,91
76686,TEHUACANA,TX,31.7573,-96.5431,P,242
76687,THORNTON,TX,31.4045,-96.4955,,1500
76689,VALLEY MILLS,TX,31.6244,-97.5449,,3991
76691,WEST,TX,31.7801,-97.1005,,6588
76802,EARLY,TX,31.7789,-98.9045,,5503
76803,EARLY,TX,31.7094,-98.9908,P,0
76804,BROWNWOOD,TX,31.7094,-98.9908,P,0
76828,BURKETT,TX,31.998,-99.3104,,175
76831,CASTELL,TX,30.767,-98.9543,,31
76836,DOOLE,TX,31.4172,-99.5368,,54
76837,EDEN,TX,31.2661,-99.8584,,2313
76841,FORT MC KAVETT,TX,30.839,-100.0577,,73
76842,FREDONIA,TX,30.9077,-99.1399,,218
76845,GOULDBUSK,TX,31.5394,-99.4487,,183
76848,HEXT,TX,30.8804,-99.5498,,68
76855,LOWAKE,TX,31.5667,-100.0787,P,0
76865,NORTON,TX,31.8692,-100.1311,,123
76866,PAINT ROCK,TX,31.4294,-99.8423,,627
76869,PONTOTOC,TX,30.861,-99.031,,52
76874,ROOSEVELT,TX,30.4808,-100.1338,,55
76880,STAR,TX,31.4735,-98.3834,P,16
76882,TALPA,TX,31.8282,-99.7571,,309
76883,TELEGRAPH,TX,30.3019,-99.8841,,0
76884,VALERA,TX,31.7041,-99.5427,,117
76885,VALLEY SPRING,TX,30.8704,-98.8657,,133
76886,VERIBEST,TX,31.4759,-100.2597,P,0
76887,VOCA,TX,30.9932,-99.1572,,118
76888,VOSS,TX,31.5941,-99.6324,,117
76902,SAN ANGELO,TX,31.4638,-100.4368,P,5
76906,SAN ANGELO,TX,31.4638,-100.4368,P,0
76909,SAN ANGELO,TX,31.4414,-100.4663,U,195
76930,BARNHART,TX,31.1897,-101.1852,P,115
76935,CHRISTOVAL,TX,31.1733,-100.517,,1714
76936,ELDORADO,TX,30.8812,-100.7019,,2357
76937,EOLA,TX,31.3484,-100.1037,,122
76939,KNICKERBOCKER,TX,31.2667,-100.6244,P,28
76940,MERETA,TX,31.4321,-100.1242,,128
76949,SILVER,TX,32.0322,-100.6994,,0
76953,TENNYSON,TX,31.7333,-100.3471,P,51
76955,VANCOURT,TX,31.2976,-100.1159,,137
76957,WALL,TX,31.3535,-100.2007,,68
76958,WATER VALLEY,TX,31.6452,-100.716,P,301
77001,HOUSTON,TX,29.7634,-95.3634,P,0
77002,HOUSTON,TX,29.7502,-95.3677,,19844
77003,HOUSTON,TX,29.7488,-95.3438,,11874
77004,HOUSTON,TX,29.7272,-95.3618,,37005
77005,HOUSTON,TX,29.7174,-95.4187,,28241
77006,HOUSTON,TX,29.7396,-95.3883,,24129
77007,HOUSTON,TX,29.7704,-95.4106,,42908
77008,HOUSTON,TX,29.7983,-95.4191,,36631
77009,HOUSTON,TX,29.7923,-95.3688,,36425
77010,HOUSTON,TX,29.7537,-95.3596,,883
77011,HOUSTON,TX,29.7418,-95.3094,,16841
77012,HOUSTON,TX,29.7237,-95.2592,,18397
77013,HOUSTON,TX,29.7975,-95.2422,,16815
77014,HOUSTON,TX,29.9857,-95.459,,35161
77015,HOUSTON,TX,29.7676,-95.1588,,57106
77016,HOUSTON,TX,29.8558,-95.296,,29966
77017,HOUSTON,TX,29.6823,-95.2572,,31659
